yearID,lgID,single,double,triple,hr,at_bats,slugging,dh_rule
2019,AL,21154,4318,385,3478,83557,0.5368431130844813,Yes
1990,NL,16917,2967,405,1521,65968,0.4570397768615086,No
1992,NL,16538,2967,459,1262,65748,0.43951146802944574,No
1976,NL,16778,2652,499,1113,65814,0.42591241984988,No
1947,NL,11264,1860,392,886,42434,0.464344629306688,No
2000,NL,23594,4632,532,3005,88743,0.5236920095106092,No
1982,AL,20566,3493,519,2080,77886,0.4805613332306191,Yes
1960,NL,10745,1722,384,1042,42176,0.4625616464339909,No
2006,AL,21572,4301,391,2546,78497,0.5290775443647527,Yes
1953,AL,11117,1816,331,879,42358,0.4546484725435573,No
1947,AL,10739,1708,412,679,42002,0.43109851911813724,No
1964,AL,13637,2109,333,1551,55180,0.4541138093512142,No
1974,NL,16907,2642,447,1280,66212,0.4327312269679212,No
2006,NL,23501,4834,561,2840,88844,0.5201476745756607,No
1949,AL,10961,1737,391,769,41669,0.4483908901101538,No
1961,NL,11029,1749,350,1196,42128,0.4833127611090011,No
1977,AL,20572,3408,644,2013,77275,0.4836234228405047,Yes
2005,AL,20933,4109,420,2437,78215,0.5134437128428051,Yes
1972,NL,15683,2392,430,1359,63116,0.43084162494454653,No
1995,AL,18791,3591,406,2164,69522,0.5156209545179943,Yes
2016,NL,20977,4100,502,2657,82635,0.49992134083620743,No
1991,AL,20195,3680,453,1953,77603,0.4732548999394353,Yes
1987,NL,17275,3126,435,1824,66276,0.48476069768845437,No
1984,AL,20539,3443,534,1980,77910,0.4742266718007958,Yes
2009,AL,20783,4131,388,2560,77965,0.5188097223112935,Yes
2016,AL,21299,4154,371,2953,82926,0.5128910112630538,Yes
2007,AL,21181,4299,433,2252,78294,0.5119932561882137,Yes
1982,NL,17085,2823,445,1299,66263,0.4416039116852542,No
1953,NL,11342,1777,414,1197,42639,0.49077135955346046,No
1973,AL,17193,2624,404,1552,66276,0.45055525378719297,Yes
1962,AL,14068,2238,400,1552,55239,0.46981299444233243,No
1946,NL,10762,1752,382,562,42094,0.41953722620801065,No
1970,AL,16404,2492,373,1746,65675,0.4490445374952417,No
1984,NL,16842,2770,451,1278,65919,0.4376128278645004,No
1968,AL,12359,1874,338,1104,53709,0.40099424677428364,No
1948,NL,11022,1840,384,845,42256,0.4551779628928436,No
1955,NL,10808,1677,362,1263,41773,0.485959830512532,No
2009,NL,22741,4606,561,2482,87884,0.4956988757908152,No
1970,NL,17151,2743,554,1683,66465,0.4668773038441285,No
2003,NL,23126,4657,491,2708,88426,0.5060163300386764,No
1994,AL,15048,2939,325,1774,55198,0.525327004601616,Yes
2023,NL,20525,4098,370,2943,82094,0.5067727239505933,Yes
1948,AL,11212,1846,450,710,42155,0.4529474558178152,No
1975,NL,17002,2781,458,1233,66102,0.43674926628543764,No
1959,AL,10621,1690,267,1091,41964,0.45672481174339913,No
1996,AL,21922,4205,421,2742,79090,0.5381590592995322,Yes
1998,NL,23213,4493,491,2565,88700,0.49528748590755356,No
1955,AL,10802,1574,338,961,41817,0.4497692326087476,No
2012,NL,22283,4453,558,2434,87814,0.48510488077071995,No
1987,AL,20620,3667,461,2634,77819,0.5123812950564772,Yes
1981,AL,13016,2119,305,1062,50813,0.4411666305866609,Yes
2010,NL,22423,4470,498,2404,87886,0.4832737864961427,No
2021,NL,19522,3907,354,2885,80604,0.4954840950821299,No
2005,NL,23058,4754,468,2580,88120,0.5026100771674988,No
1952,NL,10582,1672,338,907,41878,0.4433831606093892,No
2024,NL,20272,3963,360,2739,82127,0.4898997893506399,Yes
2008,AL,20901,4285,408,2270,78119,0.5091591034191426,Yes
2020,NL,7245,1402,126,1161,29399,0.5126364842341576,Yes
1967,NL,13698,2133,427,1102,55026,0.4298513430014902,No
1976,AL,16820,2588,467,1122,65711,0.42435817443046064,Yes
1992,AL,20006,3596,386,1776,77147,0.45964198218984537,Yes
1966,NL,14202,2099,412,1378,55385,0.4540579579308477,No
2011,NL,22263,4394,487,2281,88119,0.47249741826393854,No
1985,NL,16596,2861,437,1424,65818,0.4455468109027925,No
1949,NL,11207,1865,370,935,42711,0.4632764393247641,No
1946,AL,10793,1827,401,653,42239,0.432349250692488,No
2017,NL,20985,4203,461,2935,82533,0.5151151660547902,No
2004,NL,23271,4687,494,2846,88622,0.5135406558190968,No
1963,AL,13609,2114,352,1489,55011,0.4517096580683863,No
1990,AL,19900,3559,460,1796,76800,0.4633072916666667,Yes
1951,AL,11103,1836,349,839,42361,0.45272774485965867,No
