yearID,lgID,runs,outs,era,dh_rule
2020,AL,4159,23338,4.8115948238923645,Yes
2004,NL,12060,69438,4.689363172902445,No
2001,AL,11013,60639,4.903626379062979,Yes
1947,AL,5161,33228,4.193661971830986,No
1946,NL,4918,33254,3.9930835388223973,No
1968,NL,5577,44043,3.418908793678905,No
1955,AL,5491,33080,4.48177146311971,No
1964,AL,6607,43845,4.0686281217926785,No
1990,AL,9746,60547,4.3460782532578,Yes
2013,NL,9819,65542,4.044933020048213,No
2010,NL,11281,69265,4.397415722226232,No
1981,NL,5035,34906,3.8946026471093793,No
1951,NL,5552,33462,4.479827864443249,No
2007,NL,12388,69742,4.795904906655961,No
1954,NL,5624,33065,4.592408891577197,No
2000,NL,13021,69310,5.072384937238494,No
2005,NL,11709,69157,4.571381060485562,No
1975,AL,8281,51821,4.31460218830204,Yes
1953,NL,5914,32915,4.851222846726417,No
1957,NL,5426,33653,4.353311740409474,No
2002,AL,10862,60492,4.848145209283873,Yes
1995,NL,9329,54168,4.650033229951263,No
1992,AL,9802,60987,4.339514978601997,Yes
1982,NL,7947,52630,4.07693330799924,No
1952,NL,5158,33083,4.209594051325454,No
2024,AL,10530,64617,4.3999257161428105,Yes
2004,AL,11316,60744,5.029830106677203,Yes
1971,AL,7472,51874,3.889115934765007,No
1984,AL,10027,60840,4.4498520710059175,Yes
2009,AL,10793,60520,4.815118968935889,Yes
2018,NL,10555,65485,4.3519126517523095,No
2011,NL,10772,69732,4.1708828084667005,No
1967,NL,6218,43748,3.8375697174727987,No
2013,AL,10436,65418,4.307254883976887,Yes
1948,NL,5474,32867,4.496850944716585,No
1985,AL,10317,60552,4.600326991676575,Yes
1972,AL,6441,49961,3.4808550669522225,No
1959,AL,5391,33159,4.389667963448837,No
1967,AL,5992,43805,3.6932770231708707,No
1955,NL,5578,32953,4.570327436045277,No
2023,AL,11110,64733,4.633957950349899,Yes
1960,AL,5414,33249,4.396463051520347,No
1998,AL,11354,60584,5.060048857784234,Yes
1980,NL,7852,52589,4.031337351917701,No
1961,NL,5600,33080,4.570737605804111,No
1994,NL,7422,43070,4.652751335035988,No
1976,AL,7753,52405,3.994485259040168,Yes
1960,NL,5250,33361,4.248973352117742,No
1987,NL,8771,52137,4.5422061108234075,No
2021,NL,10869,63797,4.599949840901609,No
1966,AL,6276,43478,3.897419384516307,No
2017,NL,11245,64879,4.679711462877048,No
1961,AL,7342,43280,4.580268022181146,No
2006,NL,12558,69411,4.884902969270001,No
1974,AL,7976,52346,4.11401062163298,Yes
2003,AL,11061,60675,4.922076637824475,Yes
2019,NL,11449,65198,4.74129574526826,No
2018,AL,11075,64982,4.60165892093195,Yes
1966,NL,6624,43654,4.096944151738673,No
2017,AL,11337,64892,4.71705294951612,Yes
1982,AL,10163,61005,4.498008359970494,Yes
1989,AL,9732,60543,4.340121896833655,Yes
1969,NL,7890,52162,4.08400751504927,No
1975,NL,8014,52351,4.133216175431224,No
2019,AL,12018,65072,4.986568723875092,Yes
2012,NL,11037,69211,4.305659504991981,No
1996,NL,10623,60867,4.7122578737246785,No
1985,NL,7899,52424,4.068232107431711,No
1991,NL,7955,52163,4.1175737591779615,No
2016,NL,10888,65086,4.516731708816028,No
2023,NL,11322,64529,4.737311906274699,Yes
1986,NL,8096,52413,4.170568370442448,No
1965,NL,6558,43929,4.030731407498464,No
2005,AL,10616,60540,4.734588701684837,Yes
2007,AL,10934,60535,4.876815065664492,Yes
1979,NL,8186,52280,4.227658760520276,No
1999,AL,11853,60230,5.313481653660967,Yes
1983,AL,10177,60843,4.516197426162418,Yes
1986,AL,10449,60610,4.654726942748721,Yes
1957,AL,5210,33380,4.214200119832235,No
2001,NL,12186,69223,4.753073400459385,No
1981,AL,6112,40379,4.0868768419227814,Yes
1972,NL,7265,50390,3.8927366540980355,No
1996,AL,12208,60815,5.419978623694812,Yes
1970,AL,8109,52341,4.1830114059723735,No
1988,NL,7522,52442,3.8727355936081764,No
2008,AL,10609,60667,4.721561969439729,Yes
1978,NL,7742,52000,4.0198846153846155,No
2002,NL,11546,69315,4.497468080502056,No
1999,NL,12838,69404,4.994323093769812,No
2022,NL,10602,64550,4.434608830364058,Yes
1968,AL,5532,43660,3.4210719193770043,No
1946,AL,5037,33186,4.0980835291990605,No
1997,NL,10427,60767,4.632925765629372,No
1993,AL,10674,60667,4.7504903819209785,Yes
2011,AL,10036,60850,4.453114215283484,Yes
1987,AL,11112,60587,4.9519533893409475,Yes
1947,NL,5669,32902,4.652088018965412,No
1988,AL,9858,60561,4.395006687472136,Yes
1958,NL,5419,33077,4.423405992079088,No
2022,AL,10215,64676,4.264410291298163,Yes
1952,AL,5191,33535,4.179424481884598,No
1989,NL,7673,52602,3.938462415877723,No
1977,NL,8556,52545,4.39646017699115,No
1949,NL,5646,33293,4.5788003484215904,No
1969,AL,7960,52510,4.092934679108741,No
1959,NL,5462,33142,4.449761631766339,No
2003,NL,11917,69331,4.6409109921968525,No
1978,AL,9509,60490,4.244387502066457,Yes
2024,NL,10813,64732,4.510149539640363,Yes
1950,AL,6253,32889,5.133357657575481,No
1962,NL,7278,43470,4.520496894409938,No
